Car Index,Station Index,Arrival Time,,,,Position,Velocity
1,1,13.26386228,12.8,0.463862282,,20.02566613,1.712265083
1,2,27.04462839,26.6,0.444628392,,48.81531012,2.846510567
1,3,39.07702445,39.3,0.222975549,,79.15248408,2.683947546
1,4,52.72770275,51.5,1.22770275,,105.1203849,3.060444708
1,5,69.29568405,64.9,4.395684046,,133.4076752,1.672956914
1,6,84.72117654,77.3,7.42117654,,156.2193611,1.728738809
1,7,99.3643716,90.2,9.164371602,,185.6869501,1.768950874
1,8,112.4465477,103.5,8.946547652,,229.0577281,2.407332991
1,1,126.2070629,116.2,10.00706289,,17.44918972,1.906090802
1,2,139.0529047,129.1,9.952904714,,47.2498485,2.097544505
1,3,152.7770179,141.8,10.97701794,,79.39662548,1.831956415
1,5,168.8471814,155.2,13.64718143,,115,2.125632848
1,6,190.1308717,168.1,22.03087169,,143.75,2.125509797
1,7,204.9189914,181.2,23.71899138,,172.5,2.756414658
1,8,232.9911002,193.8,39.19110025,,201.25,2.635643064
1,8,245.8251682,206.1,39.72516823,,229.0627975,2.548278946
1,1,257.4734787,218.7,38.77347871,,22.93855858,2.166566768
1,3,271.1664601,231.7,39.46646014,,57.5,2.573007582
1,3,287.430272,244.7,42.73027204,,81.76873985,2.556964498
1,4,303.7519962,257.4,46.35199623,,110.6192557,2.454462489
1,5,318.1052435,270.4,47.70524351,,139.0156772,1.417657898
1,6,328.4275659,283.4,45.02756591,,163.5977449,2.76605074
1,7,349.7002105,295.9,53.80021053,,197.1720554,2.080255154
1,8,367.2984146,308.4,58.89841458,,226.694886,2.269871746
1,1,378.4044852,321.2,57.20448517,,22.08666659,2.319479639
1,2,392.6320786,334.2,58.43207863,,52.96521153,2.298089241
1,3,407.6121395,347.6,60.01213954,,80.51834564,2.194835577
1,4,424.1706608,361,63.1706608,,109.5637787,1.860052255
1,5,436.6107599,373.9,62.71075992,,137.7027781,1.936565467
1,6,451.120055,386.3,64.82005497,,155.9075758,2.315259981
1,7,465.7496904,398,67.74969038,,190.3239156,1.760490108
1,8,479.869065,410.5,69.36906496,,225.4851693,2.312792078
1,1,495.0254765,423.9,71.12547653,,16.20410946,1.977336274
1,2,508.3690653,437,71.36906534,,45.13534804,1.956242941
1,3,522.5665941,450.2,72.36659408,,74.00695894,2.03855921
1,4,536.6826249,462.7,73.9826249,,104.189185,2.086686305
1,5,548.9571515,475.7,73.25715147,,131.2726919,2.18433131
1,6,563.1638175,488.4,74.76381746,,163.8702008,1.935427723
1,7,579.3430812,500.7,78.64308118,,190.7606552,1.781861349
1,8,595.585342,512.9,82.685342,,228.6138674,1.769367927
1,2,611.4639572,526.3,85.1639572,,28.75,2.748959761
1,3,624.8825665,539,85.88256654,,57.5,2.019166439
1,3,646.5638434,552.4,94.16384343,,79.30947355,0.741031182
1,4,662.6113558,565.1,97.51135577,,93.41939459,1.856332505
1,5,679.1222744,577.2,101.9222744,,124.6216548,1.664168367
1,6,695.180637,589.4,105.780637,,155.5859185,1.876083797
1,7,706.7924434,602.6,104.1924434,,181.2400919,2.539478548
1,8,721.0823576,616.1,104.9823576,,229.921774,2.021106678
1,1,736.461184,628.2,108.261184,,12.27673318,1.766504384
1,2,751.1601398,641.9,109.2601398,,37.27897687,1.890652383
1,3,766.7063873,655.3,111.4063873,,65.13218866,2.305375593
1,4,779.3071971,668.5,110.8071971,,92.91884709,2.356802383
1,5,793.2838083,679.8,113.4838083,,122.4558407,2.094376026
1,6,809.6002779,691.9,117.7002779,,152.9427937,1.812379922
1,7,823.7677399,705.3,118.4677399,,177.1853909,2.073153668
1,8,834.9510192,718.8,116.1510192,,229.0311787,2.189419355
1,1,847.9065276,731.6,116.3065276,,16.0767622,2.229519981
1,2,863.7627566,745.1,118.6627566,,50.9730182,1.471636622
1,3,877.1276596,758.4,118.7276596,,74.30366329,2.332374408
1,4,890.4229716,769.3,121.1229716,,106.0673586,2.304433983
1,6,903.4650972,781.8,121.6650972,,143.75,1.982159907
1,7,918.6996228,794.4,124.2996228,,172.5,2.427342426
1,7,931.9389304,808.5,123.4389304,,193.7276061,2.430693111
1,8,945.8193947,822,123.8193947,,229.5760997,2.481717229
1,2,963.8630918,833.9,129.9630918,,28.75,2.276835244
1,2,979.2904004,846.8,132.4904004,,53.19879358,2.522541964
1,3,996.9923429,859.9,137.0923429,,81.75520848,2.143686713
2,1,8.168661802,,,,22.18237433,2.622209308
2,2,23.99363326,,,,49.16086684,2.445977342
2,3,36.43259277,,,,77.32355438,2.38381176
2,4,49.49953952,,,,109.3248578,2.149888304
2,5,63.11362117,,,,136.6783744,2.664855147
2,7,75.30353705,,,,172.5,3.1477807
2,7,90.56647332,,,,196.1889088,2.23928715
2,8,107.0753502,,,,229.2277825,2.318943127
2,1,120.2782738,,,,23.43266473,2.364039187
2,3,134.1661662,,,,57.5,2.337214614
2,4,149.036004,,,,86.25,2.148604017
2,5,166.1950947,,,,115,3.087119805
2,6,184.7238147,,,,143.75,2.508663339
2,6,200.3321937,,,,167.3440733,1.827892436
2,7,215.2496978,,,,194.023001,2.309737377
2,8,241.9350026,,,,228.5188512,2.369359949
2,1,254.7911513,,,,12.50443224,2.11637788
2,2,268.279519,,,,51.60338203,1.97363792
2,3,285.6777017,,,,81.91757267,2.562296243
2,4,301.9671882,,,,108.6490091,2.505693063
2,5,314.7657053,,,,138.4455923,2.301293263
2,6,325.2091668,,,,168.0306733,2.352161827
2,7,347.7399007,,,,196.8526101,2.123029176
2,8,365.3295851,,,,227.7889232,2.060497064
2,1,375.5317144,,,,21.0121062,2.72930012
2,2,390.6587921,,,,49.91317029,2.202542248
2,3,405.0007119,,,,79.34469416,2.487707304
2,4,421.2480433,,,,104.7634558,2.769887829
2,5,433.488107,,,,134.5593277,2.192465674
2,6,443.9535059,,,,168.4638379,2.624841085
2,7,459.5434162,,,,194.6171846,1.983875092
2,8,474.318053,,,,229.8268739,2.109643492
2,1,488.6806323,,,,17.40425855,2.384152875
2,2,502.0484537,,,,49.6246361,2.216476879
2,3,516.5608617,,,,79.8703107,2.32796911
2,4,531.5017719,,,,105.9986073,2.052850104
2,5,543.2449648,,,,134.9662492,2.420139681
2,6,558.7049585,,,,163.2363964,2.197760369
2,7,573.4563466,,,,197.0914976,2.278643528
2,8,590.0431701,,,,228.4603123,1.909051041
2,1,603.636689,,,,22.19721771,1.908554212
2,3,621.3203121,,,,57.5,3.070408378
2,3,637.1978051,,,,79.86644791,1.959629066
2,4,650.9859571,,,,107.354771,2.119159788
2,6,667.6280377,,,,143.75,2.288415326
2,6,686.1650048,,,,166.5537985,1.077955019
2,7,698.9129092,,,,193.5225137,2.773422437
2,8,713.0015698,,,,229.64851,2.051453474
2,1,727.1358367,,,,22.24251372,1.975134311
2,2,740.4648775,,,,47.63674108,3.052721405
2,3,757.5461397,,,,79.94403322,0.994627243
