Car Index,Station Index,Arrival Time,,,,Velocity,Position
1,2,14.21203865,12.8,1.412038646,,1.552939991,22.92397054
1,3,27.23253783,26.6,0.632537831,,2.208803009,48.66659759
1,4,41.02406204,39.3,1.724062043,,2.390020451,78.90318583
1,5,56.31260409,51.5,4.812604088,,2.263088305,104.6574121
1,6,74.15244912,64.9,9.252449122,,1.820756066,143.75
1,7,86.15250402,77.3,8.852504022,,2.286025408,172.5
1,8,100.6246948,90.2,10.42469482,,3.758950099,201.25
1,1,113.9832493,103.5,10.4832493,,2.418339342,0
1,2,130.3131903,116.2,14.11319035,,1.562441263,28.75
1,3,145.8462746,129.1,16.74627459,,1.993197222,57.5
1,4,159.9233908,141.8,18.12339076,,2.643819975,86.25
1,5,181.9280779,155.2,26.72807793,,0.841365207,103.7661695
1,6,197.6210386,168.1,29.52103862,,1.832031608,115
1,7,211.7655492,181.2,30.56554915,,2.03259066,143.75
1,8,224.6709635,193.8,30.8709635,,2.227747146,172.5
1,1,235.2985396,206.1,29.1985396,,2.714342184,227.2868396
1,2,251.7155921,218.7,33.01559213,,1.614986759,7.537592031
1,3,262.8937459,231.7,31.19374592,,2.62266418,30.48953867
1,4,272.9276668,244.7,28.22766683,,2.902186998,59.15087974
1,5,289.5029477,257.4,32.10294767,,1.430769541,98.27084778
1,6,303.4893514,270.4,33.08935135,,2.196193537,120.1926903
1,7,313.9130077,283.4,30.5130077,,2.947524039,148.2644742
1,8,330.631096,295.9,34.73109596,,1.491429534,184.6163566
1,1,348.1839409,308.4,39.78394088,,1.601249241,227.5603407
1,2,358.3940822,321.2,37.19408219,,2.815827825,0
1,3,375.0257945,334.2,40.82579453,,2.487399839,57.5
1,4,387.6391157,347.6,40.03911565,,2.484854827,68.29328273
1,5,404.9904762,361,43.99047619,,1.28755893,102.2587105
1,6,417.726911,373.9,43.82691098,,2.480696948,126.6950531
1,7,431.4249727,386.3,45.12497267,,2.477370271,160.1752401
1,8,446.1726816,398,48.17268164,,2.579999491,188.7405963
1,2,464.1901863,410.5,53.69018627,,2.144696581,0
1,2,479.2093983,423.9,55.30939827,,1.911280504,17.06623779
1,3,493.0366119,437,56.03661192,,2.674023152,48.55018099
1,4,508.8250965,450.2,58.62509651,,1.729215339,86.25
1,5,522.9374004,462.7,60.23740041,,2.259167104,115
1,6,534.9089814,475.7,59.20898136,,2.775405481,136.9767382
1,7,549.8391083,488.4,61.43910829,,1.983105313,168.2058322
1,8,566.3522486,500.7,65.65224864,,2.017529588,190.9078914
1,1,578.144785,512.9,65.24478496,,3.429851636,227.939153
1,2,592.2051718,526.3,65.90517178,,2.346387594,22.13506995
1,3,608.5051431,539,69.50514312,,2.175731578,49.28993472
1,4,625.5251321,552.4,73.12513206,,2.482083209,86.25
1,5,638.9465204,565.1,73.84652044,,2.721225436,115
1,6,653.6888314,577.2,76.48883135,,1.798490381,132.6068172
