Car Index,Station Index,Arrival Time,Velocity,Position
1,2,13.54068441,2.139943424,18.12689741
1,3,26.40175247,1.96798876,46.92581474
1,4,38.6622316,2.514896569,78.37558301
1,5,52.88728033,2.377242948,105.9988794
1,6,66.65699259,1.900530229,134.5955841
1,7,81.1951465,1.89948443,157.5989911
1,8,92.99843233,2.369858432,192.5055987
1,1,106.6187172,2.462645593,226.8690605
1,2,123.5612699,1.868461915,16.19675482
1,3,140.6338118,1.408369016,47.36912258
1,4,153.7524265,2.674814669,72.05183494
1,5,167.2085708,2.427836629,106.393499
1,6,183.9253071,2.493198859,135.6745616
1,7,199.928233,1.210691942,168.7952308
1,8,214.0663477,2.421109781,193.963155
1,1,230.9989819,1.628507739,228.5245773
1,2,243.9816402,2.420802448,24.93438816
1,3,255.9140605,2.28905359,54.12024356
1,4,268.8906517,2.109403555,84.35530489
1,5,282.7631763,2.47489327,111.6074281
1,6,295.6089055,1.872169452,139.6103373
1,7,308.2150618,3.047285062,170.8163845
1,8,323.3263516,2.314568623,197.4600551
1,1,337.1291625,1.990550475,228.0223339
1,2,353.2073106,2.243786451,25.20284099
1,3,366.9614054,2.113113318,55.32524389
1,4,381.4163533,2.087775902,79.5267182
1,5,398.4999647,2.374141578,110.0254561
1,6,413.1525293,1.578277083,136.7570995
1,7,426.2916214,2.016119257,164.3077075
1,8,437.5287995,1.808298489,198.0701522
1,1,449.8506296,1.760378431,229.0809084
1,2,462.4261274,2.360687437,27.0759976
1,3,477.3331729,1.805287156,54.21630402
1,4,491.057223,1.867965682,82.1414978
1,5,507.9591646,2.015334492,106.4699957
1,6,521.2452369,1.923925738,138.9529673
1,7,533.257752,2.067717198,172.5
1,8,549.5886411,2.271321373,201.25
1,1,562.5962033,2.33831242,0
1,2,577.0983614,1.407602979,21.45576304
1,3,591.210801,1.654436014,49.24183058
1,4,604.3755874,2.920008521,78.64499962
1,5,618.7364361,2.350136652,107.4865573
1,6,633.5503666,1.794958751,137.5927318
1,7,648.7789877,2.685910933,166.0028691
1,8,661.594212,2.295788494,198.5721937
1,1,673.84438,2.739688405,227.0092363
1,2,688.2747798,2.052793705,22.23401401
1,3,702.8872455,1.330976092,53.91661412
1,4,716.8721664,2.618904448,77.28734475
1,6,730.7246627,3.375756446,115
1,8,744.3086501,2.419041859,143.75
1,7,758.6437494,2.072689497,165.593537
1,8,774.2339739,1.585197193,192.8905104
1,1,790.6313424,1.329262693,229.1253112
1,2,804.2386658,2.542617311,19.02755589
1,3,816.1114457,1.906062332,54.93399377
1,4,833.0125196,1.697067938,81.78780778
1,5,849.5257024,3.017720404,114.4899167
1,6,863.9065585,2.304816783,141.2756863
1,7,876.746697,1.82731344,171.8461823
1,8,892.0028201,2.163687086,198.1175814
1,1,906.8127549,2.173405508,0
1,2,921.1886288,2.449279605,19.9912959
1,3,936.1865696,2.451747082,57.5
1,4,951.091176,1.825310131,78.84486014
1,5,965.3789108,2.001181571,106.4754404
1,6,979.2092522,2.125907649,131.8668092
1,7,991.9675285,2.417753461,158.6651324
2,2,8.576486539,2.40719906,22.63140553
2,3,21.02866017,2.889487614,50.501058
2,4,35.53112192,2.162293007,78.07415335
2,5,49.10091068,2.436742266,110.9546658
2,6,61.84022316,2.111348499,140.5513373
2,7,73.35038155,2.608198948,168.2525004
2,8,89.30859113,2.095523055,195.7722084
2,1,103.2223985,2.030436675,229.8101462
2,2,116.8427786,2.283077268,24.94305995
2,3,133.4404716,2.791560435,57.5
2,4,148.4443335,2.12382915,85.84032488
2,5,163.6636449,2.501280034,114.1873313
2,6,180.6863202,2.307238004,143.2437971
2,7,196.8681902,2.209612039,172.2770009
2,8,211.056635,2.316009307,199.1574119
2,1,226.6931663,2.586824631,227.2481457
2,2,242.4054637,1.830309294,21.79913442
2,3,254.4375742,2.313995696,48.91489268
2,4,267.9924381,2.249333728,75.37748379
2,5,281.3923811,2.858659485,110.5234346
2,6,293.3977474,2.510655584,141.5821452
2,7,307.6625649,2.079917987,170.7288562
2,8,321.6889212,2.337290082,197.890308
2,1,335.3369812,2.618888788,227.2247583
2,2,351.6264298,2.344448311,23.4857046
2,3,365.9322338,2.228394379,54.34247271
2,4,378.1960452,2.237039958,83.92574875
2,5,396.4046626,2.08966125,110.5806458
2,6,408.7218114,2.096640887,142.264665
2,7,422.2282246,2.148071505,171.9849079
2,8,435.7703244,2.191738346,195.7561992
2,1,449.2557114,2.220967619,226.6014443
2,2,461.7170109,2.45286261,18.25875906
2,3,475.5142402,2.412031222,47.54608548
2,4,488.8577702,1.872244484,86.25
2,5,503.7266145,2.090319631,105.65401
2,6,518.7518804,2.999070029,143.75
2,7,532.6673011,1.692376687,172.5
2,8,547.2654627,2.452414551,201.25
2,1,560.1308459,1.682572346,229.7031068
2,2,571.9163342,2.331745172,16.61484248
2,3,586.2192695,1.641699742,49.61921382
2,5,601.7711428,2.578608082,86.25
2,5,615.5394123,1.943735044,104.1365352
2,6,630.1200548,2.403695595,131.5176718
2,7,646.3600204,1.572193157,163.8799978
2,8,660.4278126,1.925641744,187.4706016
2,1,672.7527363,2.241780921,228.3015497
2,2,685.1005758,2.460808394,17.9060582
2,3,700.1949462,1.207283654,50.41417939
2,4,713.4498746,2.3885714,79.64273358
2,5,726.2761847,2.392835747,107.3745453
2,6,739.0701164,2.333543737,140.5706377
2,7,755.3116232,1.614028685,165.9415676
2,8,768.9605041,2.497341589,190.7184168
2,3,784.6578075,2.142868171,0
2,2,800.4148721,2.134167067,28.75
2,3,814.7652115,2.036463646,57.5
2,4,830.3831657,2.923271115,86.0355096
2,5,849.3566731,2.409309651,113.1266501
2,6,862.8330182,2.161282023,134.8899887
2,7,876.3888943,1.866892666,163.2293804
2,8,890.5550976,2.256480044,189.4520958
2,1,903.7327746,2.412298742,229.3447119
2,2,917.612596,1.720125983,24.68100939
2,3,931.8198637,1.870355769,54.12273747
2,4,947.0342546,1.764052129,81.2767957
2,5,961.1191475,1.956133507,104.7931556
2,6,973.6195499,2.752954315,134.6899715
2,7,986.245329,2.32950222,169.944234
2,8,999.8434642,2.602084812,197.9950996
3,2,6.034696551,2.111019068,21.09528096
3,3,18.60645148,2.406306237,46.22692587
3,4,31.75002166,2.388983369,75.37085388
3,5,47.44077031,1.413992811,103.7726058
3,6,60.32523751,2.509427736,130.5861726
3,7,71.7218633,2.378895449,163.8391306
3,8,86.6945461,2.414772018,189.5004449
3,1,99.11613286,2.109333733,229.7215261
3,2,115.1753186,2.130891491,28.75
3,3,131.9815063,1.823880649,55.18173904
3,4,148.2514389,1.444708079,82.86514581
3,5,163.3387438,3.016757509,102.7644048
3,6,180.4669224,2.714372166,136.1380724
3,7,196.7672679,2.089703454,168.7075681
3,8,210.1531031,4.23908478,200.8072885
3,1,224.9987555,3.204286583,225.9683265
3,2,238.6078184,2.036585484,20.38344507
3,3,250.727495,3.096865172,48.08478781
3,4,263.1587773,3.649950774,78.14321189
3,5,279.8264145,3.635803623,108.5628393
3,6,292.5342858,3.07815672,137.8217351
3,7,306.8110199,2.617911941,170.7010709
3,8,320.2514908,3.689732842,198.6481614
3,1,334.2772792,2.297501092,229.5410892
3,2,349.3809994,2.2366275,24.72892888
3,3,364.5152821,1.958982869,46.77550218
3,4,377.15706,1.853271917,79.76120374
3,5,394.2897963,2.064727247,107.7941518
3,6,408.0133758,2.869675116,132.5136712
3,7,421.9884318,2.06333034,158.8553777
3,8,433.2637292,2.13348651,187.145997
3,1,446.2679469,2.873461146,229.1068453
3,2,457.4398692,2.706883671,21.66538803
