Car_1_Station,Car_1_ArrivalTime,Car_2_Station,Car_2_ArrivalTime,Car_3_Station,Car_3_ArrivalTime,Car_4_Station,Car_4_ArrivalTime,Car_5_Station,Car_5_ArrivalTime,Car_6_Station,Car_6_ArrivalTime,Car_7_Station,Car_7_ArrivalTime,Car_8_Station,Car_8_ArrivalTime,Car_9_Station,Car_9_ArrivalTime,Car_10_Station,Car_10_ArrivalTime,Car_11_Station,Car_11_ArrivalTime,Car_12_Station,Car_12_ArrivalTime,Car_13_Station,Car_13_ArrivalTime,Car_14_Station,Car_14_ArrivalTime,Car_15_Station,Car_15_ArrivalTime,Car_16_Station,Car_16_ArrivalTime,Car_17_Station,Car_17_ArrivalTime,Car_18_Station,Car_18_ArrivalTime,Car_19_Station,Car_19_ArrivalTime,Car_20_Station,Car_20_ArrivalTime,Car_21_Station,Car_21_ArrivalTime,Car_22_Station,Car_22_ArrivalTime,Car_23_Station,Car_23_ArrivalTime,Car_24_Station,Car_24_ArrivalTime,Car_25_Station,Car_25_ArrivalTime,Car_26_Station,Car_26_ArrivalTime,Car_27_Station,Car_27_ArrivalTime,Car_28_Station,Car_28_ArrivalTime,Car_29_Station,Car_29_ArrivalTime,Car_30_Station,Car_30_ArrivalTime
2.0,13.3,2,9.9,2,6.5,2,3.0,3,12.4,3,8.8,3,5.7,3,2.2,4,12.100000000000001,4,8.4,4,5.1000000000000005,4,1.3,5,10.700000000000001,5,7.1000000000000005,5,3.8000000000000003,6,13.5,6,10.200000000000001,6,6.7,6,3.1,7,12.3,7,8.700000000000001,7,5.6000000000000005,7,2.1,8,11.200000000000001,8,8.1,8,4.7,8,1.3,1,10.8,1,7.2,1,3.7
3.0,26.1,3,22.8,3,19.3,3,16.0,4,25.900000000000002,4,21.900000000000002,4,18.8,4,15.4,5,24.0,5,21.1,5,18.0,5,14.4,6,24.1,6,20.8,6,16.900000000000002,7,26.5,7,22.900000000000002,7,19.6,7,16.2,8,25.5,8,22.1,8,18.3,8,14.8,1,24.1,1,20.700000000000003,1,17.7,1,14.4,2,23.400000000000002,2,19.900000000000002,2,16.5
4.0,39.300000000000004,4,36.0,4,32.7,4,29.0,5,38.2,5,34.4,5,31.3,5,28.0,6,37.300000000000004,6,34.1,6,30.700000000000003,6,27.5,7,37.1,7,33.4,7,29.900000000000002,8,38.900000000000006,8,35.7,8,32.2,8,29.0,1,36.9,1,34.2,1,31.0,1,27.400000000000002,2,36.6,2,33.300000000000004,2,29.900000000000002,2,26.6,3,36.2,3,32.9,3,29.6
5.0,51.6,5,48.400000000000006,5,44.800000000000004,5,41.6,6,51.2,6,47.7,6,44.7,6,40.900000000000006,7,50.900000000000006,7,47.5,7,44.300000000000004,7,40.6,8,49.2,8,45.7,8,42.400000000000006,1,51.2,1,47.7,1,44.400000000000006,1,40.900000000000006,2,50.400000000000006,2,46.800000000000004,2,43.6,2,40.0,3,49.1,3,46.1,3,42.7,3,39.1,4,49.400000000000006,4,46.1,4,42.800000000000004
6.0,65.0,6,61.2,6,57.900000000000006,6,54.5,7,64.0,7,60.900000000000006,7,57.6,7,54.300000000000004,8,62.7,8,59.400000000000006,8,56.0,8,52.6,1,61.400000000000006,1,58.300000000000004,1,54.900000000000006,2,63.300000000000004,2,60.2,2,56.6,2,53.6,3,63.400000000000006,3,59.900000000000006,3,56.5,3,52.900000000000006,4,63.1,4,59.7,4,56.6,4,52.900000000000006,5,62.0,5,58.800000000000004,5,55.2
7.0,77.2,7,73.7,7,70.3,7,67.10000000000001,8,76.9,8,73.5,8,69.9,8,66.2,1,75.0,1,71.60000000000001,1,68.5,1,65.2,2,74.10000000000001,2,70.9,2,66.7,3,77.2,3,73.4,3,70.2,3,66.7,4,76.7,4,73.10000000000001,4,69.7,4,66.4,5,76.0,5,72.60000000000001,5,68.8,5,65.8,6,75.10000000000001,6,71.8,6,68.60000000000001
8.0,90.10000000000001,8,86.80000000000001,8,83.60000000000001,8,80.4,1,88.30000000000001,1,84.9,1,81.9,1,78.5,2,88.10000000000001,2,84.30000000000001,2,80.9,2,77.60000000000001,3,86.80000000000001,3,83.9,3,80.5,4,90.80000000000001,4,87.30000000000001,4,83.7,4,80.10000000000001,5,89.30000000000001,5,86.30000000000001,5,83.10000000000001,5,79.60000000000001,6,88.7,6,85.10000000000001,6,81.80000000000001,6,78.60000000000001,7,87.7,7,84.10000000000001,7,80.7
1.0,102.4,1,98.9,1,95.60000000000001,1,91.60000000000001,2,102.0,2,98.10000000000001,2,95.0,2,91.2,3,100.80000000000001,3,97.2,3,93.9,3,90.2,4,100.5,4,97.2,4,93.7,5,102.9,5,99.60000000000001,5,96.4,5,92.80000000000001,6,102.2,6,98.9,6,95.30000000000001,6,91.80000000000001,7,100.9,7,97.80000000000001,7,94.30000000000001,7,91.10000000000001,8,99.9,8,96.30000000000001,8,93.2
2.0,115.5,2,112.10000000000001,2,108.9,2,105.5,3,114.5,3,111.0,3,107.5,3,104.30000000000001,4,114.4,4,110.9,4,107.2,4,103.60000000000001,5,113.10000000000001,5,110.0,5,106.5,6,115.9,6,112.4,6,108.9,6,105.80000000000001,7,114.7,7,111.30000000000001,7,107.9,7,104.30000000000001,8,113.2,8,109.4,8,106.4,8,103.10000000000001,1,113.0,1,109.4,1,105.9
3.0,127.9,3,124.7,3,121.0,3,117.9,4,128.1,4,124.5,4,120.9,4,117.7,5,127.30000000000001,5,123.5,5,120.10000000000001,5,116.80000000000001,6,125.80000000000001,6,122.9,6,119.5,7,128.20000000000002,7,124.7,7,121.30000000000001,7,117.9,8,127.4,8,123.7,8,120.30000000000001,8,116.7,1,126.5,1,123.30000000000001,1,119.80000000000001,1,116.4,2,125.5,2,122.7,2,119.0
