Car_1_Station,Car_1_ArrivalTime,Car_2_Station,Car_2_ArrivalTime,Car_3_Station,Car_3_ArrivalTime,Car_4_Station,Car_4_ArrivalTime,Car_5_Station,Car_5_ArrivalTime,Car_6_Station,Car_6_ArrivalTime,Car_7_Station,Car_7_ArrivalTime,Car_8_Station,Car_8_ArrivalTime,Car_9_Station,Car_9_ArrivalTime,Car_10_Station,Car_10_ArrivalTime,Car_11_Station,Car_11_ArrivalTime,Car_12_Station,Car_12_ArrivalTime,Car_13_Station,Car_13_ArrivalTime,Car_14_Station,Car_14_ArrivalTime,Car_15_Station,Car_15_ArrivalTime,Car_16_Station,Car_16_ArrivalTime,Car_17_Station,Car_17_ArrivalTime,Car_18_Station,Car_18_ArrivalTime,Car_19_Station,Car_19_ArrivalTime,Car_20_Station,Car_20_ArrivalTime,Car_21_Station,Car_21_ArrivalTime,Car_22_Station,Car_22_ArrivalTime,Car_23_Station,Car_23_ArrivalTime,Car_24_Station,Car_24_ArrivalTime,Car_25_Station,Car_25_ArrivalTime,Car_26_Station,Car_26_ArrivalTime,Car_27_Station,Car_27_ArrivalTime,Car_28_Station,Car_28_ArrivalTime,Car_29_Station,Car_29_ArrivalTime,Car_30_Station,Car_30_ArrivalTime
2,20.2,2,16.3,2,12.9,2,9.1,2,5.5,2,1.7,3,17.4,3,13.7,3,10.1,3,6.5,3,3,4,18.6,4,15.3,4,11.5,4,7.4,4,4.2,4,0.5,5,16.6,5,12.9,5,9.3,5,5.5,5,1.8,6,15.5,6,12.5,6,9.2,6,6.4,6,3.2,7,8.5,7,6,7,3.4
3,38.8,3,35.6,3,31.7,3,28,3,24.8,3,21.1,4,36.8,4,33.1,4,29.7,4,26.2,4,22.3,5,36.9,5,34.1,5,30.6,5,27.3,5,23.7,5,20.1,6,30.4,6,27.4,6,24.6,6,21.6,6,18.8,7,23.3,7,20.2,7,17.3,7,14.4,7,11.3,8,13,8,9.7,8,6.4
4,58.4,4,55,4,51.2,4,47.8,4,44.2,4,40.7,5,53.9,5,50.7,5,47.4,5,44.1,5,40.6,6,49.3,6,46.1,6,43.2,6,40,6,36.4,6,33.4,7,39,7,36,7,32.8,7,29.5,7,26.4,8,29.3,8,26.2,8,22.9,8,19.4,8,16.3,1,18.7,1,14.6,1,10.4
5,74,5,70.8,5,67.6,5,64.1,5,60.8,5,57.4,6,65.6,6,62.4,6,58.8,6,55.7,6,52.5,7,58.2,7,54.8,7,51.9,7,48.6,7,45.7,7,42.4,8,46.4,8,43,8,39.6,8,36.2,8,32.7,1,36.5,1,32.8,1,29.5,1,26.1,1,22.7,2,31.1,2,27.6,2,23.5
6,84.9,6,81.5,6,78.7,6,75.2,6,72,6,69.1,7,74.6,7,71.3,7,68.1,7,64.7,7,61.7,8,66.1,8,62.8,8,59.4,8,56.1,8,52.7,8,49.3,1,54.4,1,50.9,1,47.4,1,43.4,1,40.1,2,49.3,2,45.6,2,42.3,2,38.8,2,34.8,3,49.8,3,46.5,3,42.9
7,94,7,90.6,7,87.4,7,84.1,7,80.8,7,77.7,8,82.4,8,78.8,8,76.1,8,72.6,8,69.4,1,74.7,1,71.7,1,68.1,1,64.6,1,61.7,1,57.9,2,67.2,2,63.7,2,60.1,2,56.9,2,53.1,3,67.9,3,64.6,3,60.6,3,57,3,53.2,4,68.6,4,65.4,4,62
8,102.7,8,99.4,8,95.7,8,92.1,8,88.8,8,85.6,1,92.5,1,89.1,1,85.8,1,82,1,78.4,2,89.4,2,85.4,2,82.1,2,78.2,2,74.8,2,71.2,3,86,3,82.4,3,78.7,3,75.2,3,71.6,4,87.1,4,83.6,4,79.6,4,76,4,72.5,5,83.9,5,80.7,5,77.1
1,114.1,1,110.5,1,106.9,1,103.2,1,99.6,1,96.3,2,106.9,2,103.3,2,99.9,2,96.5,2,92.7,3,107.9,3,104.2,3,100.4,3,96.9,3,92.8,3,89.2,4,103.9,4,100.6,4,97.1,4,93.5,4,90.5,5,100.3,5,96.8,5,93.3,5,90.2,5,87,6,94.7,6,91.3,6,88.2
2,129.2,2,125.3,2,121.6,2,117.7,2,114.2,2,110.7,3,125.7,3,122.4,3,119.2,3,115.3,3,111.6,4,124.1,4,120.7,4,117.3,4,114,4,110.8,4,107.2,5,117.1,5,114.1,5,110.7,5,107,5,103.5,6,111.4,6,108,6,104.7,6,101.2,6,98,7,103.6,7,100.5,7,97.3
3,146.8,3,143.4,3,139.9,3,136.5,3,132.8,3,129.2,4,141,4,137.7,4,134.3,4,131.3,4,127.7,5,136.8,5,133.5,5,130.3,5,127,5,123.8,5,120.5,6,127.4,6,124.1,6,121,6,117.9,6,114.7,7,120.4,7,117.3,7,113.9,7,110.5,7,106.9,8,113.2,8,109.9,8,106.2
4,160.9,4,157.2,4,154.3,4,150.9,4,147.7,4,144.4,5,153.9,5,150.6,5,147,5,143.5,5,140.3,6,147.6,6,144,6,140.8,6,137.5,6,134.4,6,131,7,137.3,7,133.8,7,130.9,7,127.4,7,123.8,8,130.7,8,127.2,8,123.6,8,119.8,8,116.5,1,124.3,1,121.1,1,117.4
